State/UT,Total EVs Sold,EV Penetration (%),Two Wheeler Sales (Cumulative),Three Wheeler Sales (Cumulative),Four Wheeler Sales (Cumulative),Two Wheeler Sales 2022,Two Wheeler Sales 2023,Three Wheeler Sales 2022,Three Wheeler Sales 2023,Four Wheeler Sales 2022,Four Wheeler Sales 2023,No. of PCS (Feb 2024),No. of PCS (Mar 2024),No. of Highway Chargers,No. of ROs with Charging,Energy Requirement 2024-25 (GWh),Energy Requirement 2025-26 (GWh),Energy Requirement 2026-27 (GWh),Energy Requirement 2027-28 (GWh),Energy Requirement 2028-29 (GWh),Energy Requirement 2029-30 (GWh)
Andaman and Nicobar Islands,191.0,0.53,1.0,30.0,81.0,2.234938522414367,3.0415867375469845,16.349704721671976,27.015093033532864,117.61685969242454,252.53483956711602,3.0,3.0,,,7170,12160,18910,27688,38788,52604
Andhra Pradesh,88534.0,1.85,,,,,,,,,,222.0,327.0,319.0,65.0,7170,12160,18910,27688,38788,52604
Arunachal Pradesh,42.0,0.03,14.0,,5.0,31.289139313801137,42.58221432565778,,,7.260299981013859,15.588570343649135,9.0,9.0,5.0,4.0,7170,12160,18910,27688,38788,52604
Assam,150617.0,5.79,721.0,47041.0,161.0,1611.3906746607586,2192.984037771376,25636.881993739047,42360.56637968065,233.7816593886463,501.9519650655022,48.0,86.0,59.0,19.0,7170,12160,18910,27688,38788,52604
Bihar,214921.0,3.73,5003.0,59079.0,114.0,11181.397427639078,15217.058447947564,32197.473508388626,53200.82271093627,165.53483956711602,355.41940383520034,83.0,124.0,139.0,26.0,7170,12160,18910,27688,38788,52604
Chandigarh,12375.0,5.64,298.0,1410.0,182.0,666.0116796794813,906.3928477890012,768.436121918583,1269.7093725760446,264.27491930890454,567.4239605088286,6.0,12.0,5.0,4.0,7170,12160,18910,27688,38788,52604
Chhattisgarh,80348.0,3.02,6424.0,5341.0,117.0,14357.245067989892,19539.153202001828,2910.792430615001,4809.587063069967,169.89101955572434,364.77254604138983,46.0,149.0,70.0,51.0,7170,12160,18910,27688,38788,52604
Dadra and Nagar Haveli and Daman and Diu,468.0,0.52,69.0,36.0,153.0,154.2107580465913,209.86948489074192,19.61964566600637,32.41811164023944,222.16517941902413,477.0102525156636,1.0,1.0,,,7170,12160,18910,27688,38788,52604
Delhi,216084.0,7.72,14730.0,112831.0,3051.0,32920.644435163624,44802.57264406708,61491.784448365695,101604.66540221822,4430.235048414657,9512.145623694703,1845.0,1886.0,25.0,66.0,7170,12160,18910,27688,38788,52604
Goa,20330.0,6.28,1314.0,28.0,289.0,2936.709218452478,3996.6449731367375,15.259724406893845,25.21408683129734,419.64533890260105,901.01936586292,44.0,113.0,24.0,17.0,7170,12160,18910,27688,38788,52604
Gujarat,191185.0,2.57,13662.0,1869.0,1309.0,30533.73009322508,41554.1580083669,1018.5866041601641,1683.0402959890973,1900.7465350294285,4081.0877159673437,195.0,476.0,420.0,87.0,7170,12160,18910,27688,38788,52604
Haryana,81775.0,2.21,7777.0,18595.0,186.0,17381.11688881653,23654.420057902895,10134.09197664968,16744.855165284785,270.0831592937156,579.8948167837478,232.0,377.0,261.0,114.0,7170,12160,18910,27688,38788,52604
Himachal Pradesh,3043.0,0.48,368.0,167.0,37.0,822.4573762484869,1119.30391941729,91.01335628397399,150.38401788666627,53.726219859502564,115.35542054300362,27.0,44.0,53.0,13.0,7170,12160,18910,27688,38788,52604
Jammu and Kashmir,19099.0,2.32,1417.0,43.0,10.0,3166.9078862611577,4309.9284071040765,23.434576767729833,38.72163334806377,14.520599962027719,31.17714068729827,24.0,47.0,72.0,3.0,7170,12160,18910,27688,38788,52604
Jharkhand,47400.0,1.86,2961.0,8986.0,139.0,6617.652964868939,9006.13832987662,4897.281554298146,8091.920866644211,201.8363394721853,433.362255553446,60.0,135.0,105.0,22.0,7170,12160,18910,27688,38788,52604
Karnataka,350810.0,4.8,56737.0,16478.0,7212.0,126803.70694622392,172570.50672820324,8980.347813457027,14838.490100218483,10472.25669261439,22484.95386367951,704.0,5130.0,471.0,100.0,7170,12160,18910,27688,38788,52604
Kerala,151029.0,3.99,10299.0,2115.0,2524.0,23017.631842345563,31325.30180999639,1152.6541828778743,1904.5640588640667,3664.9994304157963,7869.110309474084,192.0,958.0,189.0,39.0,7170,12160,18910,27688,38788,52604
Ladakh,88.0,0.45,12.0,,5484.0,26.819262268972402,36.49904085056381,,,7963.097019176002,17097.543952914373,,,,,7170,12160,18910,27688,38788,52604
