State/UT,Total EVs Sold,EV Penetration (%),Two Wheeler Sales (Cumulative),Three Wheeler Sales (Cumulative),Four Wheeler Sales (Cumulative),Two Wheeler Sales 2022,Two Wheeler Sales 2023,Three Wheeler Sales 2022,Three Wheeler Sales 2023,Four Wheeler Sales 2022,Four Wheeler Sales 2023,No. of PCS (Feb 2024),No. of PCS (Mar 2024),No. of Highway Chargers,No. of ROs with Charging,Energy Requirement 2024-25 (GWh),Energy Requirement 2025-26 (GWh),Energy Requirement 2026-27 (GWh),Energy Requirement 2027-28 (GWh),Energy Requirement 2028-29 (GWh),Energy Requirement 2029-30 (GWh)
Andaman and Nicobar Islands,191.0,1.0,1.0,30.0,81.0,1.0,1.0,13.0,21.0,35.0,75.0,3.0,3.0,,,7170,12160,18910,27688,38788,52604
Andhra Pradesh,88534.0,2.0,70827.0,13280.0,4427.0,40541.0,55173.0,5580.0,9220.0,1900.0,4079.0,222.0,327.0,319.0,65.0,7170,12160,18910,27688,38788,52604
Arunachal Pradesh,42.0,0.0,14.0,,5.0,8.0,11.0,,,2.0,5.0,9.0,9.0,5.0,4.0,7170,12160,18910,27688,38788,52604
Assam,150617.0,6.0,721.0,47041.0,161.0,413.0,562.0,19767.0,32661.0,69.0,148.0,48.0,86.0,59.0,19.0,7170,12160,18910,27688,38788,52604
Bihar,214921.0,4.0,5003.0,59079.0,114.0,2864.0,3897.0,24825.0,41019.0,49.0,105.0,83.0,124.0,139.0,26.0,7170,12160,18910,27688,38788,52604
Chandigarh,12375.0,6.0,298.0,1410.0,182.0,171.0,232.0,592.0,979.0,78.0,168.0,6.0,12.0,5.0,4.0,7170,12160,18910,27688,38788,52604
Chhattisgarh,80348.0,3.0,6424.0,5341.0,117.0,3677.0,5004.0,2244.0,3708.0,50.0,108.0,46.0,149.0,70.0,51.0,7170,12160,18910,27688,38788,52604
Dadra and Nagar Haveli and Daman and Diu,468.0,1.0,69.0,36.0,153.0,39.0,54.0,15.0,25.0,66.0,141.0,1.0,1.0,,,7170,12160,18910,27688,38788,52604
Delhi,216084.0,8.0,14730.0,112831.0,3051.0,8431.0,11474.0,47412.0,78339.0,1309.0,2811.0,1845.0,1886.0,25.0,66.0,7170,12160,18910,27688,38788,52604
Goa,20330.0,6.0,1314.0,28.0,289.0,752.0,1024.0,12.0,19.0,124.0,266.0,44.0,113.0,24.0,17.0,7170,12160,18910,27688,38788,52604
Gujarat,191185.0,3.0,13662.0,1869.0,1309.0,7820.0,10642.0,785.0,1298.0,562.0,1206.0,195.0,476.0,420.0,87.0,7170,12160,18910,27688,38788,52604
Haryana,81775.0,2.0,7777.0,18595.0,186.0,4451.0,6058.0,7814.0,12911.0,80.0,171.0,232.0,377.0,261.0,114.0,7170,12160,18910,27688,38788,52604
Himachal Pradesh,3043.0,0.0,368.0,167.0,37.0,211.0,287.0,70.0,116.0,16.0,34.0,27.0,44.0,53.0,13.0,7170,12160,18910,27688,38788,52604
Jammu and Kashmir,19099.0,2.0,1417.0,43.0,10.0,811.0,1104.0,18.0,30.0,4.0,9.0,24.0,47.0,72.0,3.0,7170,12160,18910,27688,38788,52604
Jharkhand,47400.0,2.0,2961.0,8986.0,139.0,1695.0,2307.0,3776.0,6239.0,60.0,128.0,60.0,135.0,105.0,22.0,7170,12160,18910,27688,38788,52604
Karnataka,350810.0,5.0,56737.0,16478.0,7212.0,32476.0,44197.0,6924.0,11441.0,3095.0,6646.0,704.0,5130.0,471.0,100.0,7170,12160,18910,27688,38788,52604
Kerala,151029.0,4.0,10299.0,2115.0,2524.0,5895.0,8023.0,889.0,1468.0,1083.0,2326.0,192.0,958.0,189.0,39.0,7170,12160,18910,27688,38788,52604
Ladakh,88.0,0.0,12.0,,5484.0,7.0,9.0,,,2354.0,5053.0,,,,,7170,12160,18910,27688,38788,52604
Lakshadweep,19.0,1.0,98.0,23.0,8.0,56.0,77.0,10.0,16.0,3.0,7.0,1.0,1.0,,,7170,12160,18910,27688,38788,52604
Madhya Pradesh,144782.0,2.0,749737.0,178898.0,58332.0,429142.0,584031.0,75173.0,124210.0,25035.0,53752.0,174.0,341.0,231.0,167.0,7170,12160,18910,27688,38788,52604
Maharashtra,439358.0,4.0,51149.0,6155.0,2.0,29277.0,39844.0,2586.0,4273.0,1.0,2.0,660.0,3083.0,659.0,88.0,7170,12160,18910,27688,38788,52604
Manipur,1273.0,1.0,86.0,443.0,9.0,49.0,67.0,186.0,308.0,4.0,8.0,16.0,17.0,1.0,1.0,7170,12160,18910,27688,38788,52604
